QID,URLNO,PNO,REL,EXPL
1,1,1,Positive,Answers the details mentioned in the question
1,1,2,Positive,Answers the details mentioned in the question
1,2,3,Positive,Answers the details mentioned in the question
1,3,4,Positive,Answers the details mentioned in the question
1,4,5,Positive,Answers the details mentioned in the question
1,5,6,Negative,Shows the original date in 1976; Instead should be in 2014
1,6,7,Negative,Related Document but does not show the date
1,7,8,Negative,Related Document but does not show the date
1,7,9,Negative,Shows the original date in 1976; Instead should be in 2014 according to information need.
1,8,10,Negative,Related Document but does not show the date
2,9,11,Positive,Answers the details mentioned in the question
2,9,12,Positive,Answers the details mentioned in the question
2,9,13,Positive,Answers the details mentioned in the question
2,9,14,Positive,Answers the details mentioned in the question
2,10,15,Positive,Answers the details mentioned in the question
2,11,16,Negative,Gives the total number of cases rather than the first case.
2,12,17,Negative,Not related to the first person to get Ebola
2,13,18,Negative,"Informs Number of Infected and dates back to 2013, rather than 2014"
2,14,19,Negative,Does not give a date on the first case.
2,9,20,Negative,Does not answer the question
3,13,21,Positive,Answers the details mentioned in the question
3,15,22,Positive,Answers the details mentioned in the question
3,16,23,Positive,Answers the details mentioned in the question
3,17,24,Positive,Answers the details mentioned in the question
3,18,25,Positive,Answers the details mentioned in the question
3,19,26,Negative,Does not give any info on the date/ebola cases outside africa.
3,20,27,Negative,Does not give any info on the date/ebola cases outside africa.
3,21,28,Negative,"Does not mention if first patients and returns in africa, rather than outside africa."
3,21,29,Negative,"Declares them free of Ebola, rather than when they were diagonized"
3,26,30,Negative,Does not provide relavant info
4,22,31,Positive,Para explains how Manuel Garcêa was the first european to get ebola and died on Sep 25
4,23,32,Positive,Para explains how repatriate Miguel Pajares was the first european to get ebola on 6th Aug 2014
4,24,33,Positive,para answers on first european
4,25,34,Positive,Answers the query
4,26,35,Positive,Answers the query
4,23,36,Negative,Only relays the death toll.
4,24,37,Negative,"Answers the first in US, but query is for europe."
4,27,38,Negative,Not confirmed as Ebola
4,28,39,Negative,Talks about Bundibugyo virus  related to Ebola
4,29,40,Negative,Does not mention the frist date.
5,30,41,Positive,Informs the date when ebola first occurred in 2014.
5,31,42,Positive,Informs the date when ebola first occurred in 2014.
5,32,43,Positive,Informs the date when ebola first occurred in 2014.
5,33,44,Positive,
5,34,45,Positive,
5,35,46,Negative,Does not mention start date
5,36,47,Negative,Mentions 2013
5,37,48,Negative,Mentions 1976
5,37,49,Negative,Mentions 2013
5,38,50,Negative,Contains keyword but no date
6,39,51,Positive,Gives the correct information.
6,40,52,Positive,Answers the details mentioned in the question
6,41,53,Positive,Answers the details mentioned in the question
6,42,54,Positive,Answers the details mentioned in the question
6,43,55,Positive,Answers the details mentioned in the question
6,145,56,Negative,talks about virus and importance of bats who carries them
6,145,57,Negative,talks about a different cousin of ebola
6,145,58,Negative,Does not provide relavant info
6,145,59,Negative,talks about filvirus treatment
6,44,60,Negative,Does not provide relavant info
7,43,61,Positive,Answers the details mentioned in the question
7,45,62,Positive,Answers the details mentioned in the question
7,46,63,Positive,Answers the details mentioned in the question
7,46,64,Positive,Answers the details mentioned in the question
7,46,65,Positive,Answers the details mentioned in the question
7,142,66,Negative,talks about last known strain
7,143,67,Negative,Does not mention when
7,42,68,Negative,"talks about malburg virus, a cousin of ebola"
7,42,69,Negative,Does not mention when
7,42,70,Negative,Does not mention when
8,144,71,Positive,Answers the details mentioned in the question
8,145,72,Positive,Answers the details mentioned in the question
8,146,73,Positive,Answers the details mentioned in the question
8,146,74,Positive,Answers the details mentioned in the question
8,146,75,Positive,Answers the details mentioned in the question
8,148,76,Negative,does not mention when it was first identified
8,147,77,Negative,talks about first identified of outbreak rather than the virus
8,147,78,Negative,talks about first identified of outbreak rather than the virus
8,147,79,Negative,talks about outbreak
9,90,81,Positive,Answers the details mentioned in the question
9,151,82,Positive,Answers the details mentioned in the question
9,151,83,Positive,Answers the details mentioned in the question
9,231,84,Positive,Answers the details mentioned in the question
9,232,85,Positive,Answers the details mentioned in the question
9,90,86,Negative,does not mention treatment procedures
9,147,87,Negative,talks about treatment center
10,268,91,Positive,Answers the details mentioned in the question
10,269,92,Positive,Answers the details mentioned in the question
10,270,93,Positive,Answers the details mentioned in the question
10,271,94,Positive,Answers the details mentioned in the question
10,271,95,Positive,Answers the details mentioned in the question
11,47,101,Positive,Answers the details mentioned in the question
11,48,102,Positive,Answers the details mentioned in the question
11,49,103,Positive,Answers the details mentioned in the question
11,50,104,Positive,Answers the details mentioned in the question
11,51,105,Positive,Answers the details mentioned in the question
11,909,21,Positive,Answers the details mentioned in the question
11,910,741,Positive,Answers the details mentioned in the question
11,911,2324,Positive,Answers the details mentioned in the question
11,52,106,Negative,Does not provide relavant info
11,53,107,Negative,Does not provide relavant info
11,54,108,Negative,Does not provide relavant info
11,54,109,Negative,Does not provide relavant info
11,55,110,Negative,Does not provide relavant info
12,56,111,Positive,Answers the details mentioned in the question
12,57,112,Positive,Answers the details mentioned in the question
12,58,113,Positive,Answers the details mentioned in the question
12,59,114,Positive,Answers the details mentioned in the question
12,60,115,Positive,Answers the details mentioned in the question
12,60,116,Negative,Does not provide relavant info
12,123,117,Negative,Does not provide relavant info
12,123,118,Negative,Does not provide relavant info
12,124,119,Negative,Does not provide relavant info
12,125,120,Negative,Does not provide relavant info
13,126,121,Positive,Answers the details mentioned in the question
13,127,122,Positive,Answers the details mentioned in the question
13,128,123,Positive,Answers the details mentioned in the question
13,129,123,Positive,Answers the details mentioned in the question
13,130,124,Positive,Answers the details mentioned in the question
13,130,125,Positive,Answers the details mentioned in the question
13,69,126,Negative,talks about the first successful drug rather than the patient
13,70,127,Negative,talks about the first successful drug rather than the patient
13,71,128,Negative,he died of the infection; not successful
13,72,129,Negative,Does not provide relavant info
14,73,131,Positive,Answers the details mentioned in the question
14,74,132,Positive,Answers the details mentioned in the question
14,75,133,Positive,Answers the details mentioned in the question
14,76,134,Positive,Answers the details mentioned in the question
14,77,135,Positive,Answers the details mentioned in the question
15,274,141,Positive,Answers the details mentioned in the question
15,275,142,Positive,Answers the details mentioned in the question
15,276,143,Positive,Answers the details mentioned in the question
15,277,144,Positive,Answers the details mentioned in the question
15,278,145,Positive,Answers the details mentioned in the question
16,222,151,Positive,Answers the details mentioned in the question
16,222,152,Positive,Answers the details mentioned in the question
16,222,153,Positive,Answers the details mentioned in the question
16,222,154,Positive,Answers the details mentioned in the question
16,222,155,Positive,Answers the details mentioned in the question
17,224,161,Positive,Answers the details mentioned in the question
17,224,162,Positive,Answers the details mentioned in the question
17,224,163,Positive,Answers the details mentioned in the question
17,224,164,Positive,Answers the details mentioned in the question
17,224,165,Positive,Answers the details mentioned in the question
18,225,171,Positive,Answers the details mentioned in the question
18,225,172,Positive,Answers the details mentioned in the question
18,225,173,Positive,Answers the details mentioned in the question
18,225,174,Positive,Answers the details mentioned in the question
18,225,175,Positive,Answers the details mentioned in the question
19,226,181,Positive,Answers the details mentioned in the question
19,226,182,Positive,Answers the details mentioned in the question
19,226,183,Positive,Answers the details mentioned in the question
19,226,184,Positive,Answers the details mentioned in the question
19,226,185,Positive,Answers the details mentioned in the question
20,227,191,Positive,Answers the details mentioned in the question
20,227,192,Positive,Answers the details mentioned in the question
20,227,193,Positive,Answers the details mentioned in the question
20,227,194,Positive,Answers the details mentioned in the question
21,78,201,Positive,Answers the details mentioned in the question
21,79,202,Positive,Answers the details mentioned in the question
21,80,203,Positive,Answers the details mentioned in the question
21,81,204,Positive,Answers the details mentioned in the question
21,82,205,Positive,Answers the details mentioned in the question
21,80,206,Negative,Does not provide relavant info
21,83,207,Negative,Does not provide relavant info
21,81,208,Negative,Does not provide relavant info
21,47,209,Negative,Does not provide relavant info
21,85,210,Negative,Does not provide relavant info
22,79,211,Positive,Answers the details mentioned in the question
22,79,212,Positive,Answers the details mentioned in the question
22,86,213,Positive,Answers the details mentioned in the question
